Category,UUID
Software,85b6bca9-930a-11bc-a608-a513b76fb637
Data and Analytics,701eef4f-18c1-4aff-b550-caf732cd575f
Science and Engineering,285e29fc-8f70-bf00-1749-9e94158f64f4
Mobile,ec09d1af-e88f-6a8d-1db8-1dd5e3d49ea0
Apps,26833aa6-0585-2aa7-8c69-63b4b14727c5
Messaging and Telecommunications,e46afc16-c3ef-46bd-794e-4466ac57d862
Lending and Investments,e03218e3-0279-3faa-0151-558385ce5b94
Internet Services,d1079d33-97d7-1f5a-7e6c-b80d5373a3e0
Information Technology,4fe3f3ac-e522-5889-7477-c1b6d6663710
Gaming,02a6e7d3-36d8-8fcb-c284-c4db17e268c1
Consumer Electronics,52f31300-254d-c4c7-bfcf-0246c8212aba
Biotechnology,0400c677-de05-c087-fea4-5630ebe519f3
Artificial Intelligence,e5514a50-8200-7f6b-de87-b07990670800
