City,UUID
Aliso Viejo,fd23d284-1f79-4480-053d-a12631d6a7a2
Anaheim,9a7f5db3-0ab0-75ee-ec2a-a092e71d9d02
Brea,b6b724c1-1486-54e3-4aa8-c5ac10665450
Buena Park,e9eea094-0d62-0334-3564-2f741cce1cd3
Costa Mesa,bd1066f0-e1bc-25ef-3031-a73df8b3df6a
Cypress,02d0c89a-c2fa-8f06-bb38-2f17f5824b3e
Dana Point,1a3a5a44-c129-a7b1-6b13-0eb99467b2bd
Fountain Valley,b1bd9c03-efe4-9aa9-6b88-3a216f521be8
Fullerton,67ccb96d-f5d7-ccd9-2b2b-e751f7e23e54
Garden Grove,0d2cdc02-7bdb-8962-079b-53ee6ced5993
Huntington Beach,d06a99b2-84ea-5a55-574a-a415235dc4b4
Irvine,2979b857-d250-537d-c44a-22382d922237
La Habra,ae3b3ce7-1010-3ef8-21b2-c0bc79309d8e
La Palma,0f0df711-951d-78a0-78c0-cbbc9a5f22ac
Laguna Beach,908fea28-90f2-f3bc-c52a-8fc36f03171e
Laguna Hills,99f41ede-0787-8301-495a-f8f15c233917
Laguna Niguel,17ba032c-6738-2d8b-06dd-6c275ffa3716
Laguna Woods,50f82527-6ed9-5204-6c45-8700d7158be3
Lake Forest,7d26627c-ddc9-5b22-54ad-ac3b32d337eb
Los Alamitos,2ee4e761-f7d5-a6c2-b5c0-25e7321ed168
Mission Viejo,080aa010-78c5-cd76-d700-744179d93baf
Newport Beach,f66aa362-be1e-6d5e-ff16-348b180e16cd
Orange,8880b38f-a0da-0435-2cab-41db5ce10ae1
Placentia,6d235ca3-2608-4d63-b074-e3ffdcc4d0b1
Rancho Santa Margarita,8126050e-2c8e-43ab-c00e-041debb2a2a8
San Clemente,031c1941-a2ce-15d1-0ffb-e238f8dac457
San Juan Capistrano,6a376457-f19d-b2c5-2dd8-69ceed25513e
Santa Ana,a315f867-28dd-7ebe-2b03-b0d30617f853
Seal Beach,0e40b716-c472-3847-fb4a-a4d32dc1f568
Stanton,8de524de-453b-f19c-e80e-d6e98a9fa91d
Tustin,30af3a4a-094b-15f8-5405-a31da977cb4e
Villa Park,8d721863-3c1c-c7d5-11e1-d9f63e805502
Westminster,a6feb27c-66a9-399a-3797-72a853c49fde
Yorba Linda,d0b04a13-06b6-325a-865a-ffbf5cb616c8
